_id,AC No,AC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share (%)
1,1,NERELA,2,RAJ KARAN KHATRI,Bharatiya Janata Party,86463,752,87215,49.91
2,1,NERELA,3,SHARAD KUMAR,Aam Aadmi Party,78395,224,78619,44.99
3,1,NERELA,1,ARUNA,Indian National Congress,6724,58,6782,3.88
4,1,NERELA,8,NOTA,None of the Above,973,8,981,0.56
5,1,NERELA,4,ANIL KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),328,0,328,0.19
6,1,NERELA,7,VIKAS BHARDWAJ,Independent,300,1,301,0.17
7,1,NERELA,5,MD KHALID,Aazad Samaj Party (Kanshi Ram),278,0,278,0.16
8,1,NERELA,6,BUDIYA,Independent,242,0,242,0.14
9,2,BURARI,3,SANJEEV JHA,Aam Aadmi Party,120813,368,121181,47.57
10,2,BURARI,12,SHAILENDRA KUMAR,Janata Dal  (United),99943,637,100580,39.48
11,2,BURARI,2,MANGESH TYAGI,Indian National Congress,19808,112,19920,7.82
12,2,BURARI,10,RATAN TYAGI,Nationalist Congress Party,3829,23,3852,1.51
13,2,BURARI,15,NOTA,None of the Above,2530,18,2548,1
14,2,BURARI,1,GANGA RAM,Bahujan Samaj Party,2193,21,2214,0.87
15,2,BURARI,4,ANIL KAPOOR,Janhit Dal,866,3,869,0.34
16,2,BURARI,14,SONU KAUSHIK,Aapki Apni Party (Peoples),738,1,739,0.29
17,2,BURARI,11,VIJAY KUMAR JHA,Rachnatmak Jan Morcha,589,0,589,0.23
18,2,BURARI,13,SUNIL KUMAR VYATHIT,Aam Aadmi Sangharsh Party (S),568,1,569,0.22
19,2,BURARI,5,ABHISHEK KUMAR SINGH (MASTER JI),Rashtriya Janshakti Party (Secular),530,1,531,0.21
20,2,BURARI,6,GULAB SINGHAL,Bhim Sena,318,0,318,0.12
21,2,BURARI,8,PRAMOD,Sarvodaya Prabhat Party,315,0,315,0.12
22,2,BURARI,9,MUKESH PRASAD,Bhartiya Janta Dal (Integrated),284,4,288,0.11
23,2,BURARI,7,DHURVA KUMAR,Right to Recall Party,224,0,224,0.09
24,3,TIMARPUR,4,SURYA PRAKASH KHATRI,Bharatiya Janata Party,55626,315,55941,46.03
25,3,TIMARPUR,2,SURINDER PAL SINGH (BITTOO),Aam Aadmi Party,54602,171,54773,45.07
26,3,TIMARPUR,1,LOKENDRA KALYAN SINGH,Indian National Congress,8313,48,8361,6.88
27,3,TIMARPUR,3,SURENDER PAL,Bahujan Samaj Party,976,9,985,0.81
28,3,TIMARPUR,13,NOTA,None of the Above,658,5,663,0.55
29,3,TIMARPUR,5,TARUN KUMAR,Republican Sena,165,2,167,0.14
30,3,TIMARPUR,6,DEEPAK CHAWLA,Republican Party of India (Athawale),113,0,113,0.09
31,3,TIMARPUR,9,RAJKUMAR BHARTI,Peoples Party of India (Democratic),111,1,112,0.09
32,3,TIMARPUR,10,RAM RAJ SINGH,Rashtriya Janshakti Party (Secular),109,0,109,0.09
33,3,TIMARPUR,12,SANGH PRIYA SIDDHARTHA,Bhim Sena,107,0,107,0.09
34,3,TIMARPUR,8,RAKESH RANJAN SHRIVASTAV,Janhit Dal,90,1,91,0.07
35,3,TIMARPUR,11,WASIM AKRAM,Indian National Socialistic Action Forces,69,0,69,0.06
36,3,TIMARPUR,7,BIJENDER KUMAR,Jan Samuh Party,49,1,50,0.04
37,4,ADARSH NAGAR,3,RAJ KUMAR BHATIA,Bharatiya Janata Party,52260,250,52510,52.27
38,4,ADARSH NAGAR,2,MUKESH KUMAR GOEL,Aam Aadmi Party,40941,87,41028,40.84
39,4,ADARSH NAGAR,4,SHIVANK SINGAL,Indian National Congress,5442,18,5460,5.43
40,4,ADARSH NAGAR,15,NOTA,None of the Above,374,3,377,0.38
41,4,ADARSH NAGAR,1,ABDUL ZABBAR,Bahujan Samaj Party,343,1,344,0.34
42,4,ADARSH NAGAR,13,RAM NIWAS,Independent,140,0,140,0.14
43,4,ADARSH NAGAR,10,SANJEEV KUMAR RANA,Communist Party of India,133,0,133,0.13
44,4,ADARSH NAGAR,14,VIJAY KR. AGGARWAL,Independent,116,0,116,0.12
45,4,ADARSH NAGAR,12,NEETU SINGH,Independent,111,0,111,0.11
46,4,ADARSH NAGAR,11,AYUSH GUPTA,Independent,64,0,64,0.06
47,4,ADARSH NAGAR,5,PRIYA,"Aam Janmat Party,",56,0,56,0.06
48,4,ADARSH NAGAR,6,PREM CHAND,Rashtrawadi Janlok Party (Satya),41,0,41,0.04
49,4,ADARSH NAGAR,9,SANJAY YADAV ADVOCATE,Peoples Party of India (Democratic),35,0,35,0.03
50,4,ADARSH NAGAR,8,VISHAL SINGH,National Youth Party,27,0,27,0.03
51,4,ADARSH NAGAR,7,MD: RAHMAT ALI,Navarang Congress Party,18,0,18,0.02
52,5,BADLI,2,AAHIR DEEPAK CHAUDHARYY,Bharatiya Janata Party,61011,181,61192,40.56
53,5,BADLI,1,AJESH YADAV,Aam Aadmi Party,45937,92,46029,30.51
54,5,BADLI,3,DEVENDER YADAV,Indian National Congress,40980,91,41071,27.22
55,5,BADLI,4,RAVINDER KUMAR,Bahujan Samaj Party,723,2,725,0.48
56,5,BADLI,13,NOTA,None of the Above,687,5,692,0.46
57,5,BADLI,6,PARMOD KUMAR,Socialist Unity Centre Of India (COMMUNIST),250,0,250,0.17
58,5,BADLI,12,DEVENDER KUMAR YADAV,Independent,235,0,235,0.16
59,5,BADLI,11,JAI PAL,Independent,214,0,214,0.14
60,5,BADLI,10,ARUN KUMAR,Independent,158,0,158,0.1
61,5,BADLI,7,MULAYAM SINGH,Nationalist Congress Party,92,0,92,0.06
62,5,BADLI,5,GOPAL KUMAR SINHA,Bharatiya Sampuran Krantikari Party,76,0,76,0.05
63,5,BADLI,8,RAJENDER,"Aam Janmat Party,",68,0,68,0.05
64,5,BADLI,9,R. C. SHARMA,Sarvodaya Prabhat Party,64,0,64,0.04
65,6,RITHALA,1,KULWANT RANA,Bharatiya Janata Party,103950,421,104371,55.76
66,6,RITHALA,3,MOHINDER GOYAL,Aam Aadmi Party,74591,164,74755,39.94
67,6,RITHALA,4,SUSHANT MISHRA,Indian National Congress,5216,42,5258,2.81
68,6,RITHALA,12,NOTA,None of the Above,1224,11,1235,0.66
69,6,RITHALA,2,NEYAZ KHAN,Bahujan Samaj Party,615,4,619,0.33
70,6,RITHALA,5,ASHOK JAIN,Yuva Bharat Rashtraseva Party,213,0,213,0.11
71,6,RITHALA,10,VIDYA PATTI,Independent,167,0,167,0.09
72,6,RITHALA,8,NISHTHA,Jai Maha Bharath Party,154,1,155,0.08
73,6,RITHALA,11,VISHAL GUPTA,Independent,117,0,117,0.06
74,6,RITHALA,6,AYASHA KHATOON,Peoples Party of India (Democratic),114,0,114,0.06
75,6,RITHALA,9,AJAY KUMAR SINGH,Independent,104,0,104,0.06
76,6,RITHALA,7,JITANDER SINGH,Asankhya Samaj Party,55,1,56,0.03
77,7,BAWANA,2,RAVINDER INDRAJ SINGH,Bharatiya Janata Party,118746,769,119515,52
78,7,BAWANA,1,JAI BHAGWAN UPKAR,Aam Aadmi Party,87874,166,88040,38.3
79,7,BAWANA,3,SURENDER KUMAR,Indian National Congress,18630,83,18713,8.14
80,7,BAWANA,4,HEERA LAL,Bahujan Samaj Party,1552,5,1557,0.68
81,7,BAWANA,8,NOTA,None of the Above,1339,7,1346,0.59
82,7,BAWANA,7,HARI KISHAN MECHANIC,Independent,278,1,279,0.12
83,7,BAWANA,5,DHEERAJ KUMAR,Peoples Party of India (Democratic),216,0,216,0.09
84,7,BAWANA,6,BABITA,Asankhya Samaj Party,188,2,190,0.08
85,8,MUNDKA,1,GAJENDER DRALL,Bharatiya Janata Party,89128,711,89839,47.07
86,8,MUNDKA,2,JASBIR KARALA,Aam Aadmi Party,79062,227,79289,41.54
87,8,MUNDKA,3,DHARAMPAL LAKRA,Indian National Congress,10241,49,10290,5.39
88,8,MUNDKA,12,RAMBIR SHOKEEN,Independent,8621,34,8655,4.53
89,8,MUNDKA,14,NOTA,None of the Above,1076,12,1088,0.57
90,8,MUNDKA,4,SUMAN LATA SEHRAWAT,Bahujan Samaj Party,544,4,548,0.29
91,8,MUNDKA,13,SUNITA SHEKHAR CHAWARIYA,Independent,408,0,408,0.21
92,8,MUNDKA,7,SUNIL KUMAR,National Loktantrik Party,165,1,166,0.09
93,8,MUNDKA,11,RAJNI,Independent,128,1,129,0.07
94,8,MUNDKA,10,ANDEEP DRALL,Independent,112,3,115,0.06
95,8,MUNDKA,5,MAHAVIR,All India Forward Bloc,93,1,94,0.05
96,8,MUNDKA,6,YOGENDER SINGH ALIAS YOGI MATHUR,Akhil Bharatiya Socialist Party,86,1,87,0.05
97,8,MUNDKA,9,SANTOSH,Indian National Socialistic Action Forces,84,0,84,0.04
98,8,MUNDKA,8,SANJAYA KUMAR YADAV,Right to Recall Party,61,0,61,0.03
99,9,KIRARI,1,ANIL JHA,Aam Aadmi Party,105660,120,105780,52.26
100,9,KIRARI,3,BAJRANG SHUKLA,Bharatiya Janata Party,83749,160,83909,41.45
101,9,KIRARI,4,RAJESH KUMAR GUPTA,Indian National Congress,6847,17,6864,3.39
102,9,KIRARI,2,JUGBIR SINGH,Bahujan Samaj Party,2116,12,2128,1.05
103,9,KIRARI,10,NOTA,None of the Above,1363,3,1366,0.67
104,9,KIRARI,6,MALIK NEYAZ AHMAD,Aazad Samaj Party (Kanshi Ram),885,0,885,0.44
105,9,KIRARI,8,PRAKASH SRIVASTAV,Independent,588,0,588,0.29
106,9,KIRARI,9,RAKESH,Independent,472,1,473,0.23
107,9,KIRARI,7,SUDESH SHARMA,Rashtriya Manav Party,212,0,212,0.1
108,9,KIRARI,5,AFSANA SARWAR,Peace Party,208,0,208,0.1
109,10,SULTANPUR MAJRA,4,MUKESH KUMAR AHLAWAT,Aam Aadmi Party,58687,80,58767,52.09
110,10,SULTANPUR MAJRA,1,KARAM SINGH KARMA,Bharatiya Janata Party,41549,92,41641,36.91
111,10,SULTANPUR MAJRA,3,JAI KISHAN,Indian National Congress,8671,17,8688,7.7
112,10,SULTANPUR MAJRA,2,KULWANT RANA,Bahujan Samaj Party,1882,3,1885,1.67
113,10,SULTANPUR MAJRA,6,JITENDER,Jai Maha Bharath Party,555,0,555,0.49
114,10,SULTANPUR MAJRA,13,NOTA,None of the Above,488,6,494,0.44
115,10,SULTANPUR MAJRA,11,DEEPAK KUMAR,Independent,177,0,177,0.16
116,10,SULTANPUR MAJRA,12,RAMSWAROOP SAMRIA,Independent,150,2,152,0.13
117,10,SULTANPUR MAJRA,5,KARAN SINGH,Swaraj Bhartiya Nyay Party,151,0,151,0.13
118,10,SULTANPUR MAJRA,8,BABU LAL,Bharatiya Sampuran Krantikari Party,91,0,91,0.08
119,10,SULTANPUR MAJRA,7,PREETI,Yuva Bharat Rashtraseva Party,82,0,82,0.07
120,10,SULTANPUR MAJRA,10,SANGEETA,Rashtriya Lok Sevak Party,72,0,72,0.06
121,10,SULTANPUR MAJRA,9,LAXMI,Republican Party of India (Athawale),70,0,70,0.06
122,11,NANGLOI JAT,1,MANOJ KUMAR SHOKEEN,Bharatiya Janata Party,74950,322,75272,47.25
123,11,NANGLOI JAT,3,RAGHUVINDER SHOKEEN,Aam Aadmi Party,48907,114,49021,30.77
124,11,NANGLOI JAT,4,ROHIT CHOUDHARY,Indian National Congress,31918,110,32028,20.1
125,11,NANGLOI JAT,10,NOTA,None of the Above,915,9,924,0.58
126,11,NANGLOI JAT,2,MUKESH KUMAR,Bahujan Samaj Party,792,3,795,0.5
127,11,NANGLOI JAT,7,YATENDER SHARMA,Azad Adhikar Sena,389,1,390,0.24
128,11,NANGLOI JAT,9,DILIP KUMAR SHARMA,Independent,373,0,373,0.23
129,11,NANGLOI JAT,8,RAM SAJIVAN,Peoples Party of India (Democratic),204,1,205,0.13
130,11,NANGLOI JAT,5,KANCHAN SHARMA,Rashtriya Manav Party,162,0,162,0.1
131,11,NANGLOI JAT,6,MAHENDER SINGH RATHOR,Rashtriya Lok Sevak Party,152,0,152,0.1
132,12,MANGOL PURI,3,RAJ KUMAR CHAUHAN,Bharatiya Janata Party,61805,202,62007,50.23
133,12,MANGOL PURI,1,DHARAM RAKSHAK ALIAS RAKESH JATAV,Aam Aadmi Party,55659,93,55752,45.16
134,12,MANGOL PURI,4,HANUMAN SAHAY ALIAS HANUMAN CHAUHAN,Indian National Congress,3761,23,3784,3.07
135,12,MANGOL PURI,7,NOTA,None of the Above,760,2,762,0.62
136,12,MANGOL PURI,2,MUKESH KUMAR,Bahujan Samaj Party,721,3,724,0.59
137,12,MANGOL PURI,6,JAI BHAGWAN,Independent,250,0,250,0.2
138,12,MANGOL PURI,5,KHILKHILAKAR,Bahujan Shoshit Samaj Sangharsh Samta Party,171,0,171,0.14
139,13,ROHINI,2,VIJENDER GUPTA,Bharatiya Janata Party,69890,475,70365,65.01
140,13,ROHINI,1,PARDEEP MITTAL,Aam Aadmi Party,32442,107,32549,30.07
141,13,ROHINI,3,SUMESH GUPTA,Indian National Congress,3721,44,3765,3.48
142,13,ROHINI,9,NOTA,None of the Above,1027,4,1031,0.95
143,13,ROHINI,4,HARSHAD CHADHA,Bahujan Samaj Party,194,3,197,0.18
144,13,ROHINI,5,ABHISHEK,Jai Maha Bharath Party,118,0,118,0.11
145,13,ROHINI,6,AMIT SAINI,Jan Samuh Party,91,1,92,0.09
146,13,ROHINI,8,RAJBIR,Independent,62,0,62,0.06
147,13,ROHINI,7,NARENDER SINGH PANWAR,Independent,52,2,54,0.05
148,14,SHALIMAR BAGH,3,REKHA GUPTA,Bharatiya Janata Party,67839,361,68200,59.95
149,14,SHALIMAR BAGH,2,BANDANA KUMARI,Aam Aadmi Party,38487,118,38605,33.93
150,14,SHALIMAR BAGH,1,PARVEEN KUMAR JAIN,Indian National Congress,4845,47,4892,4.3
151,14,SHALIMAR BAGH,10,NOTA,None of the Above,768,2,770,0.68
152,14,SHALIMAR BAGH,4,SHYAM KUMAR,Bahujan Samaj Party,410,1,411,0.36
153,14,SHALIMAR BAGH,9,SAURABH GUPTA,Independent,356,2,358,0.31
154,14,SHALIMAR BAGH,8,RINA DEVI,Independent,252,0,252,0.22
155,14,SHALIMAR BAGH,7,RAJESH KUMAR,Independent,143,0,143,0.13
156,14,SHALIMAR BAGH,6,MOHD. USMAN,Independent,98,0,98,0.09
157,14,SHALIMAR BAGH,5,RANJEET VERMA,New India United Party,35,0,35,0.03
158,15,SHAKUR BASTI,1,KARNAIL SINGH,Bharatiya Janata Party,56570,299,56869,57.07
159,15,SHAKUR BASTI,3,SATYENDAR JAIN,Aam Aadmi Party,35775,96,35871,36
160,15,SHAKUR BASTI,2,SATISH KUMAR LUTHRA,Indian National Congress,5736,48,5784,5.8
161,15,SHAKUR BASTI,8,NOTA,None of the Above,672,1,673,0.68
162,15,SHAKUR BASTI,4,VIJAY KUMAR,Bahujan Samaj Party,164,0,164,0.16
163,15,SHAKUR BASTI,5,TAMANA,Yuva Bharat Rashtraseva Party,115,0,115,0.12
164,15,SHAKUR BASTI,6,RAJESH GUPTA,Bharat Lok Sewak Party,99,1,100,0.1
165,15,SHAKUR BASTI,7,JUGAL CHAWLA,Independent,76,0,76,0.08
166,16,TRI NAGAR,1,TILAK RAM GUPTA,Bharatiya Janata Party,58836,237,59073,53.36
167,16,TRI NAGAR,3,PREETI JITENDER TOMAR,Aam Aadmi Party,43083,94,43177,39
168,16,TRI NAGAR,4,SATENDER SHARMA,Indian National Congress,6867,30,6897,6.23
169,16,TRI NAGAR,7,NOTA,None of the Above,682,6,688,0.62
170,16,TRI NAGAR,2,PAWAN GARG,Bahujan Samaj Party,562,4,566,0.51
171,16,TRI NAGAR,5,SUBHASH,Asankhya Samaj Party,180,1,181,0.16
172,16,TRI NAGAR,6,SURENDRA SINGH BASOYA,Peoples Party of India (Democratic),114,1,115,0.1
173,17,WAZIRPUR,1,POONAM SHARMA,Bharatiya Janata Party,54414,307,54721,51.24
174,17,WAZIRPUR,3,RAJESH GUPTA,Aam Aadmi Party,43194,102,43296,40.54
175,17,WAZIRPUR,2,RAGINI NAYAK,Indian National Congress,6311,37,6348,5.94
176,17,WAZIRPUR,4,HIRA LAL,Bahujan Samaj Party,1046,1,1047,0.98
177,17,WAZIRPUR,10,NOTA,None of the Above,652,0,652,0.61
178,17,WAZIRPUR,8,AAKASH GOEL,Independent,233,1,234,0.22
179,17,WAZIRPUR,5,DEVENDER KUMAR,Communist Party of India,190,0,190,0.18
180,17,WAZIRPUR,9,MUKESH JAIN,Independent,173,0,173,0.16
181,17,WAZIRPUR,6,MAHESH BANSAL,Right to Recall Party,64,0,64,0.06
182,17,WAZIRPUR,7,SHEELA DEVI,Garib Ekta Party,63,0,63,0.06
183,18,MODEL TOWN,2,ASHOK GOEL,Bharatiya Janata Party,51848,260,52108,54.1
184,18,MODEL TOWN,1,AKHILESH PATI TRIPATHI,Aam Aadmi Party,38608,85,38693,40.17
185,18,MODEL TOWN,3,KANWAR KARAN SINGH,Indian National Congress,3886,22,3908,4.06
186,18,MODEL TOWN,10,NOTA,None of the Above,682,3,685,0.71
187,18,MODEL TOWN,4,CHUNNI LAL,Bahujan Samaj Party,372,0,372,0.39
188,18,MODEL TOWN,9,ROMAN RASHID,Independent,224,0,224,0.23
189,18,MODEL TOWN,8,CHANDER PAL,Independent,119,0,119,0.12
190,18,MODEL TOWN,7,VIVEK GIRI,Aapki Apni Party (Peoples),118,0,118,0.12
191,18,MODEL TOWN,6,PANKAJ KUMAR,Rashtravadi Janata Party,58,0,58,0.06
192,18,MODEL TOWN,5,AWDHESH KUMAR JHA,Right to Recall Party,33,0,33,0.03
193,19,SADAR BAZAR,4,SOM DUTT,Aam Aadmi Party,56070,107,56177,47.45
194,19,SADAR BAZAR,2,MANOJ KUMAR JINDAL,Bharatiya Janata Party,49671,199,49870,42.12
195,19,SADAR BAZAR,1,ANIL BHARDWAJ,Indian National Congress,10022,35,10057,8.49
196,19,SADAR BAZAR,3,SHAIL KUMARI,Bahujan Samaj Party,708,1,709,0.6
197,19,SADAR BAZAR,12,NOTA,None of the Above,584,2,586,0.49
198,19,SADAR BAZAR,9,MEENAKSHI KUMARI,Bharatiya Liberal Party,247,0,247,0.21
199,19,SADAR BAZAR,8,MADHU BALA,Jai Maha Bharath Party,213,0,213,0.18
200,19,SADAR BAZAR,6,ASHA RANI,Socialist Unity Centre Of India (COMMUNIST),184,0,184,0.16
201,19,SADAR BAZAR,5,ANITA BANSAL,Asankhya Samaj Party,123,0,123,0.1
202,19,SADAR BAZAR,11,CA SOHARSH GULGULIA JAIN,Jantantrik Samta Party,100,0,100,0.08
203,19,SADAR BAZAR,10,LAXMI THAKUR SINGHAL,Abhinav Bharat Party,84,0,84,0.07
204,19,SADAR BAZAR,7,UMESH RATHOR,Atulya Bharat Party,49,1,50,0.04
205,20,CHANDNI CHOWK,2,PUNARDEEP SINGH SAWHNEY (SABBY),Aam Aadmi Party,38932,61,38993,54.79
206,20,CHANDNI CHOWK,4,SATISH JAIN,Bharatiya Janata Party,22359,62,22421,31.5
207,20,CHANDNI CHOWK,3,MUDIT AGARWAL,Indian National Congress,9038,27,9065,12.74
208,20,CHANDNI CHOWK,8,NOTA,None of the Above,249,4,253,0.36
209,20,CHANDNI CHOWK,1,KALI CHARAN,Bahujan Samaj Party,246,0,246,0.35
210,20,CHANDNI CHOWK,5,KHALID UR REHMAN,Nationalist Congress Party,81,0,81,0.11
211,20,CHANDNI CHOWK,7,RAHUL TIWARI,Right to Recall Party,69,0,69,0.1
212,20,CHANDNI CHOWK,6,MOHAMMAD MURSALEEN,Indian National Socialistic Action Forces,45,0,45,0.06
213,21,MATIA MAHAL,1,AALEY MOHAMMED IQBAL,Aam Aadmi Party,58041,79,58120,68.8
214,21,MATIA MAHAL,4,DEEPTI INDORA,Bharatiya Janata Party,15351,45,15396,18.23
215,21,MATIA MAHAL,2,ASIM AHMED KHAN,Indian National Congress,10274,21,10295,12.19
216,21,MATIA MAHAL,12,NOTA,None of the Above,217,0,217,0.26
217,21,MATIA MAHAL,3,TEJ RAM,Bahujan Samaj Party,129,1,130,0.15
218,21,MATIA MAHAL,6,AMAR NATH,Independent,93,0,93,0.11
219,21,MATIA MAHAL,10,MOHAMMAD AHMED SAIFI,Independent,60,0,60,0.07
220,21,MATIA MAHAL,5,MOHD JAVED,Nationalist Congress Party,56,0,56,0.07
221,21,MATIA MAHAL,9,BHAGWAN DASS,Independent,35,0,35,0.04
222,21,MATIA MAHAL,8,FIRDOUS AHMAD,Independent,31,0,31,0.04
223,21,MATIA MAHAL,11,MOAZAM KHAN,Independent,31,0,31,0.04
224,21,MATIA MAHAL,7,ZAINUDDIN,Independent,10,1,11,0.01
225,22,BALLIMARAN,1,IMRAN HUSSAIN,Aam Aadmi Party,56932,72,57004,58
226,22,BALLIMARAN,2,KAMAL BAGRI,Bharatiya Janata Party,27119,62,27181,27.66
227,22,BALLIMARAN,4,HAROON YUSUF,Indian National Congress,13038,21,13059,13.29
228,22,BALLIMARAN,10,NOTA,None of the Above,299,2,301,0.31
229,22,BALLIMARAN,5,ABRAR,Aam Aadmi Parivartan Party,224,0,224,0.23
230,22,BALLIMARAN,3,SONU,Bahujan Samaj Party,190,0,190,0.19
231,22,BALLIMARAN,7,BABU LAL,Independent,130,1,131,0.13
232,22,BALLIMARAN,9,HANSA,Independent,77,0,77,0.08
233,22,BALLIMARAN,8,MOHD. SHADAB,Independent,72,0,72,0.07
234,22,BALLIMARAN,6,MD HAROON,Nationalist Congress Party,38,0,38,0.04
235,23,KAROL BAGH,4,VISHESH RAVI,Aam Aadmi Party,52153,144,52297,50.88
236,23,KAROL BAGH,1,DUSHYANT GAUTAM,Bharatiya Janata Party,44750,117,44867,43.65
237,23,KAROL BAGH,2,RAHUL KUMAR,Indian National Congress,4232,20,4252,4.14
238,23,KAROL BAGH,3,RANJEET,Bahujan Samaj Party,624,2,626,0.61
239,23,KAROL BAGH,7,NOTA,None of the Above,543,5,548,0.53
240,23,KAROL BAGH,5,SHIV KUMAR,Rashtriya Aikta Manch Party,116,0,116,0.11
241,23,KAROL BAGH,6,DEEPAK KUMAR,Independent,87,1,88,0.09
242,24,PATEL NAGAR,2,PRAVESH RATN,Aam Aadmi Party,57408,104,57512,49
243,24,PATEL NAGAR,3,RAAJ KUMAR ANAND,Bharatiya Janata Party,53273,190,53463,45.55
244,24,PATEL NAGAR,1,KRISHNA TIRATH,Indian National Congress,4610,44,4654,3.97
245,24,PATEL NAGAR,6,NOTA,None of the Above,768,4,772,0.66
246,24,PATEL NAGAR,4,RAM AVTAR,Bahujan Samaj Party,712,2,714,0.61
247,24,PATEL NAGAR,5,ASHOK KUMAR,Aazad Samaj Party (Kanshi Ram),255,0,255,0.22
248,25,MOTI NAGAR,4,HARISH KHURANA,Bharatiya Janata Party,57364,201,57565,52.64
249,25,MOTI NAGAR,3,SHIVCHARAN GOEL,Aam Aadmi Party,45827,81,45908,41.98
250,25,MOTI NAGAR,2,RAJENDER SINGH,Indian National Congress,3316,18,3334,3.05
251,25,MOTI NAGAR,1,AVINASH GUPTA,Bahujan Samaj Party,848,3,851,0.78
252,25,MOTI NAGAR,13,NOTA,None of the Above,687,2,689,0.63
253,25,MOTI NAGAR,11,SADRE ALAM,Independent,415,1,416,0.38
254,25,MOTI NAGAR,10,GAURI SHANKAR,Independent,170,0,170,0.16
255,25,MOTI NAGAR,5,GOURAV BOTHRA,Right to Recall Party,124,0,124,0.11
256,25,MOTI NAGAR,12,HARISH,Independent,76,0,76,0.07
257,25,MOTI NAGAR,8,VISHAL SAHNI,Voters Party  International,70,0,70,0.06
258,25,MOTI NAGAR,7,VIJAY KUMAR SHARMA,Rashtriya Manav Party,63,0,63,0.06
259,25,MOTI NAGAR,9,SANAULLAH,Nationalist Congress Party,60,0,60,0.05
